label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,note,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,091215_0i,091215_0M,091215_1i,091215_1M,091215_3i,091215_3M,091215_5i,091215_5M,091215_15i,091215_15M,091215_45i,091215_45M,091215_120i,091215_120M,091215_240i,091215_240M
,0,57,10,613.0989,13.3829,0.8040984,C13-label-7,UDP-N-acetyl-glucosamine,HMDB00290,C17H27N3O17P2,0.1970997,1.791937,606.0747,0.0,0.0,0.0,0.0,241.3951,0.0,1670.661,1674.976,4607.582,9564.325,29598.68,31794.9,58188.5,89347.94,61241.68,118125.6
,0,58,8,614.1007,13.38151,0.8248219,C13-label-8,UDP-N-acetyl-glucosamine,HMDB00290,C17H27N3O17P2,0.1984901,0.6957259,606.0747,0.0,0.0,0.0,0.0,217.5159,0.0,2002.637,665.4019,18912.63,2580.539,151318.8,8767.43,260506.2,28824.17,268651.8,52388.87
,0,59,4,615.1046,13.37727,0.7976985,C13-label-9,UDP-N-acetyl-glucosamine,HMDB00290,C17H27N3O17P2,0.2027292,0.1984546,606.0747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1321.651,0.0,13022.64,964.0707,25332.88,7000.35,29448.59,7902.923
,0,60,4,616.1075,13.38817,0.8445963,C13-label-10,UDP-N-acetyl-glucosamine,HMDB00290,C17H27N3O17P2,0.1918297,0.5943942,606.0747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315.7316,0.0,4990.405,894.1863,9561.173,8488.716,14384.2,6146.294
,0,61,6,617.1115,13.37665,0.8469054,C13-label-11,UDP-N-acetyl-glucosamine,HMDB00290,C17H27N3O17P2,0.2033491,0.4945232,606.0747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11481.1,5950.16,27290.78,58021.7,46949.91,47353.9
,0,62,5,618.1147,13.37246,0.8405495,C13-label-12,UDP-N-acetyl-glucosamine,HMDB00290,C17H27N3O17P2,0.2075405,0.1974882,606.0747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2539.91,0.0,8755.574,3871.969,18542.9,4284.054
,0,63,5,619.1186,13.37157,0.8361313,C13-label-13,UDP-N-acetyl-glucosamine,HMDB00290,C17H27N3O17P2,0.2084332,1.084425,606.0747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10612.62,346.0975,32278.8,3688.776,79410.49,5996.938
,0,64,3,620.1216,13.37244,0.840746,C13-label-14,UDP-N-acetyl-glucosamine,HMDB00290,C17H27N3O17P2,0.2075605,0.5905473,606.0747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1058.568,0.0,3588.217,1743.448,15583.79,3650.607
,0,65,2,621.1255,13.35533,0.8429006,C13-label-15,UDP-N-acetyl-glucosamine,HMDB00290,C17H27N3O17P2,0.2246656,1.473983,606.0747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318.1905,0.0,2815.407,0.0,12564.83,0.0
,0,66,2,622.1292,13.3343,0.7129549,C13-label-16,UDP-N-acetyl-glucosamine,HMDB00290,C17H27N3O17P2,0.2456999,1.962142,606.0747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1022.354,0.0,4125.015,305.5734
,0,67,0,623.1284,13.3397,0.09169985,C13-label-17,UDP-N-acetyl-glucosamine,HMDB00290,C17H27N3O17P2,0.2402992,4.799506,606.0747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,421.6733,0.0
,0,68,11,579.0275,15.05336,0.8002794,C12 PARENT,UDP-D-glucuronate,HMDB00935,C15H22N2O18P2,0.3733616,0.737869,579.0275,366007.3,635433.1,324025.1,605279.2,396376.5,598460.9,359683.2,613526.1,338798.6,581540.0,335148.1,639656.7,98845.26,284669.3,44145.23,190055.8
,0,69,8,580.0309,15.0524,0.8267568,C13-label-1,UDP-D-glucuronate,HMDB00935,C15H22N2O18P2,0.3723993,0.8418201,579.0275,53979.36,99789.98,49399.18,95534.52,55510.89,94144.43,53769.78,95236.45,52391.7,88650.81,50222.53,100609.7,17102.25,44331.23,6399.812,27047.74
,0,70,9,581.0321,15.05336,0.8114115,C13-label-2,UDP-D-glucuronate,HMDB00935,C15H22N2O18P2,0.3733616,2.836237,579.0275,12260.9,19264.02,10717.63,19558.04,11428.47,18441.43,9319.858,19249.56,10397.96,18144.5,9906.039,21648.17,2978.761,9718.052,1701.859,6305.336
,0,71,3,582.0356,15.05526,0.8451652,C13-label-3,UDP-D-glucuronate,HMDB00935,C15H22N2O18P2,0.3752613,2.516753,579.0275,1879.781,3052.963,1212.727,2824.063,1425.965,3149.677,1418.878,2808.103,1502.756,2715.818,1531.752,3379.171,1171.268,1360.987,1039.966,1827.331
,0,72,1,583.04,15.06537,0.632803,C13-label-4,UDP-D-glucuronate,HMDB00935,C15H22N2O18P2,0.3853664,0.7327898,579.0275,0.0,201.2831,0.0,0.0,0.0,133.2593,0.0,0.0,0.0,311.8203,189.2789,435.8047,959.1662,1236.515,855.5388,779.7297
,0,73,5,584.0449,15.07146,0.845654,C13-label-5,UDP-D-glucuronate,HMDB00935,C15H22N2O18P2,0.3914547,1.881079,579.0275,0.0,0.0,0.0,0.0,142.8702,0.0,0.0,0.0,1275.322,1412.979,2530.004,2655.29,9892.975,11686.8,10414.75,9057.979
,0,74,8,585.0476,15.05989,0.8062761,C13-label-6,UDP-D-glucuronate,HMDB00935,C15H22N2O18P2,0.3798904,0.7302763,579.0275,0.0,0.0,0.0,0.0,2584.005,1150.69,1788.699,6353.913,21433.88,22683.17,33185.81,42850.47,119663.8,155063.1,133539.7,137615.1
,0,75,3,586.0512,15.05836,0.816603,C13-label-7,UDP-D-glucuronate,HMDB00935,C15H22N2O18P2,0.3783646,1.145612,579.0275,0.0,0.0,0.0,0.0,202.8918,0.0,141.7926,400.8316,2864.297,1643.888,2793.264,3578.951,9673.578,12654.38,11645.44,12406.48
,0,76,5,587.0524,15.07858,0.8402969,C13-label-8,UDP-D-glucuronate,HMDB00935,C15H22N2O18P2,0.3985748,2.599214,579.0275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,561.2377,477.4623,546.8152,1329.278,3024.169,4846.967,4139.89,3984.12
,0,77,2,588.0574,15.04792,0.8175202,C13-label-9,UDP-D-glucuronate,HMDB00935,C15H22N2O18P2,0.3679199,0.2075824,579.0275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.835,0.0,1063.769,1333.55,2331.946,384.7103
,0,78,1,589.0609,15.04095,0.7196803,C13-label-10,UDP-D-glucuronate,HMDB00935,C15H22N2O18P2,0.3609495,0.5180719,579.0275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1855.725,2541.077,3805.029,892.8509
,0,79,4,590.0646,15.05094,0.8397902,C13-label-11,UDP-D-glucuronate,HMDB00935,C15H22N2O18P2,0.3709393,1.13782,579.0275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,634.4833,0.0,13216.96,15336.35,32309.48,6574.219
,0,80,0,591.0685,15.0447,0.3483008,C13-label-12,UDP-D-glucuronate,HMDB00935,C15H22N2O18P2,0.3647003,2.065253,579.0275,0.0,0.0,0.0,0.0,0.0,0.0,139.5162,0.0,0.0,0.0,0.0,0.0,1244.352,596.4622,4315.595,238.124
,0,81,0,592.0709,15.04473,0.1031136,C13-label-13,UDP-D-glucuronate,HMDB00935,C15H22N2O18P2,0.3647251,0.5154381,579.0275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,429.787,507.524,4000.995,535.1141
,0,82,0,593.0751,15.03332,0.3009371,C13-label-14,UDP-D-glucuronate,HMDB00935,C15H22N2O18P2,0.3533239,1.852438,579.0275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.6822,627.6731,1707.641,223.6839
,0,83,0,594.0771,15.0381,0.088958,C13-label-15,UDP-D-glucuronate,HMDB00935,C15H22N2O18P2,0.358099,0.3082182,579.0275,0.0,129.6112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.3821,0.0
,0,84,16,565.0482,13.33601,0.822211,C12 PARENT,UDP-D-glucose,HMDB00286,C15H24N2O17P2,0.1039934,0.7561238,565.0483,696488.2,480760.7,590128.2,424881.2,545490.1,418470.3,564182.4,336189.8,288420.7,204952.2,118180.7,52093.94,44525.26,22858.23,23342.28,18302.36
,0,85,15,566.0515,13.33506,0.8445747,C13-label-1,UDP-D-glucose,HMDB00286,C15H24N2O17P2,0.1049433,0.5391311,565.0483,111332.1,72556.59,94174.1,65927.07,85943.07,62970.18,86459.48,50133.62,42903.77,28075.4,18358.51,8284.515,6423.193,3757.482,4387.609,2335.728
,0,86,12,567.0529,13.33315,0.8347802,C13-label-2,UDP-D-glucose,HMDB00286,C15H24N2O17P2,0.1068497,2.798521,565.0483,20081.91,13186.52,14699.77,12338.95,17083.77,12867.0,15981.23,9101.136,7921.163,5958.455,2790.608,1790.474,1931.778,1474.799,1211.446,1136.136
,0,87,10,568.0571,13.33411,0.8445994,C13-label-3,UDP-D-glucose,HMDB00286,C15H24N2O17P2,0.1058931,1.289344,565.0483,2643.445,1925.831,2039.531,1714.2,2400.013,1474.653,2555.073,2174.566,1383.452,2702.95,2243.18,3208.132,4296.905,3773.336,2460.464,1901.283
,0,88,7,569.0615,13.3375,0.845443,C13-label-4,UDP-D-glucose,HMDB00286,C15H24N2O17P2,0.102499,0.5362794,565.0483,195.7578,0.0,0.0,0.0,0.0,169.1326,394.0606,1224.718,1036.395,1560.546,1715.088,2599.613,2435.034,2950.872,2622.885,2411.813
,0,89,12,570.0651,13.34001,0.8274437,C13-label-5,UDP-D-glucose,HMDB00286,C15H24N2O17P2,0.09999084,0.9636039,565.0483,0.0,0.0,0.0,0.0,2631.627,2735.809,4415.9,5548.67,14225.5,12915.79,33446.97,21723.69,33272.34,25035.15,28103.31,20028.14
,0,90,14,571.0683,13.3431,0.8309637,C13-label-6,UDP-D-glucose,HMDB00286,C15H24N2O17P2,0.09690094,0.7481529,565.0483,0.0,0.0,4406.93,2944.902,47744.77,43420.79,80837.79,96575.93,202029.2,230372.2,495756.2,370163.6,439120.1,381701.5,355439.5,308039.8
,0,91,12,572.0717,13.34201,0.825135,C13-label-7,UDP-D-glucose,HMDB00286,C15H24N2O17P2,0.09798622,0.7468407,565.0483,0.0,0.0,159.7444,227.4701,4375.042,3408.043,6586.863,8806.011,17710.78,20244.37,44908.52,32852.07,38550.32,32579.97,31685.92,25096.95
,0,92,11,573.0732,13.33747,0.8384282,C13-label-8,UDP-D-glucose,HMDB00286,C15H24N2O17P2,0.1025248,2.449609,565.0483,0.0,0.0,0.0,0.0,1382.819,1620.875,2402.137,2688.217,5833.461,4833.019,13961.4,10048.01,12691.07,10685.47,11906.65,7310.408
